eol -> que (0.40), la (0.37), el (0.32), canaria… (0.30), no (0.29), acuerdo (0.29), l (0.28), quedar (0.28), ofrezco (0.28), de (0.28)
boca -> aparte (0.81), quemo (0.75), adonde (0.74), pasion (0.73), tentadora (0.73), querías (0.72), arder (0.72), dijiste (0.71), caminas (0.70), jugarme (0.70)
camino -> sorprendió (0.59), tropiezos (0.59), ánima (0.58), ebrios (0.58), alborada (0.58), lamenta (0.56), til (0.56), estabiliza (0.55), platanal (0.55), deprisa (0.55)
esa -> traga (0.58), pardelas (0.58), rada (0.58), farlopita (0.57), vuelen (0.56), busto (0.55), imaginas (0.55), cuántas (0.54), renuncio (0.53), hizo (0.53)
palma -> marchita (0.69), sube (0.69), nubеs (0.68), lata (0.67), guiados (0.67), paroles (0.67), chanson (0.67), еntre (0.65), conozcas (0.63), bella (0.63)
junto -> alpispa (0.74), acequia (0.72), florеciendo (0.72), lloran (0.70), hacerlo (0.70), ayuda (0.69), firma (0.69), salpicona (0.69), miedos (0.68), vías (0.68)
otro -> abel (0.63), cerrado (0.59), mercedes (0.59), sitio (0.58), dábamos (0.57), mataba (0.56), esté (0.56), u (0.55), mesas (0.55), ojito (0.55)
solo -> mudas (0.72), quierе (0.71), pulso (0.70), djavan (0.68), compartidos (0.68), factura (0.67), caparazón (0.66), atento (0.65), reclama (0.65), irreal (0.64)
nuestro -> nombrado (0.65), dividan (0.65), porvenir (0.64), matalotaje (0.64), plateada (0.62), nuеstro (0.62), lunita (0.62), pensamos (0.62), sorprendió (0.61), oculta (0.61)
allí -> habitaba (0.69), traspuso (0.69), levantada (0.67), llegué (0.66), hospitalaria (0.66), cogotera (0.65), estaremos (0.65), quedé (0.64), pondría (0.63), allí… (0.63)
arrorró -> moviendo (0.78), rubio (0.78), heridas (0.76), muerde (0.76), crestas (0.75), rorró (0.75), arorró (0.74), deditos (0.74), mariposas (0.73), cauce (0.71)
fuego -> arde (0.68), apaguen (0.67), reclama (0.66), quema (0.66), naciste (0.64), consume (0.64), cuidar (0.64), lloren (0.63), escrito (0.62), lava (0.62)
rap -> rapadura (0.90), duras (0.86), envoltura (0.84), bailaba (0.83), celofán (0.83), denuncia (0.83), marginalidad (0.82), vocero (0.79), periodista (0.79), negrito (0.76)
puedo -> vivido (0.79), desear (0.76), más (0.76), hayan (0.75), oliendo (0.74), hayas (0.72), djavan (0.72), ensayos (0.71), pregúntale (0.70), atento (0.69)
mira -> aaaay (0.78), aaay (0.76), pesa (0.75), rompo (0.75), zagalejo (0.75), sufrir (0.74), quieta (0.74), llamen (0.74), quiéreme (0.73), llámenlos (0.72)
penas -> acaben (0.69), duras (0.67), mudas (0.64), quitan (0.64), lluevan (0.64), envuelto (0.64), lloren (0.63), carnavales (0.62), juegos (0.60), alegra (0.60)
patria -> cabemos (0.64), dividida (0.64), concepto (0.62), visita (0.61), estirpe (0.61), cantores (0.61), ancestros (0.61), pardelas (0.61), construída (0.60), saludo (0.60)
ahora -> perdura (0.65), comprendes (0.62), guste (0.59), diría (0.58), perpetuas (0.58), tropiezos (0.58), siniestra (0.56), mecen (0.56), comería (0.56), aytiriririnainai (0.56)
grande -> muelle (0.73), refugio (0.72), redonda (0.68), sabio (0.68), fanegadas (0.67), panza (0.67), valientеs (0.67), cola (0.64), derramando (0.64), cuchillo (0.62)
quiere -> vomitar (0.57), preocupar (0.57), seco (0.57), darme (0.56), precipicio (0.56), teme (0.55), mimeráhanab (0.55), agarfa (0.55), adеntro (0.55), duros (0.54)
dormida -> anoche (0.86), apaguen (0.86), apagó (0.83), tula (0.83), cogido (0.81), lecho (0.80), vestida (0.79), cogió (0.79), llamen (0.79), vela (0.77)
vez -> regleta (0.73), pedal (0.67), otra (0.66), tеstigo (0.65), angustiado (0.64), rieron (0.64), conversarlo (0.64), venza (0.63), tumbo (0.63), mandala (0.63)
llama -> canaria… (0.74), hondamente (0.74), tiernamente (0.72), rica (0.71), animadora (0.71), alumbra (0.71), digas (0.70), conducen (0.69), sombreados (0.68), reino (0.66)
pan -> propio (0.71), pescador (0.71), amasa (0.70), trabajar (0.67), siembre (0.67), naciera (0.66), aparto (0.66), caigan (0.64), solito (0.64), pasarme (0.63)
abajo -> cogotera (0.75), caliente (0.74), levantada (0.73), preñada (0.72), recental (0.71), golosa (0.71), oliendo (0.70), quеbrada (0.70), suavemente (0.69), esperan (0.68)
nublo -> altar (0.90), lírica (0.88), riscales (0.88), lunar (0.85), niеve (0.85), cumbrе (0.83), tejeda (0.81), roque (0.79), telar (0.77), montañas (0.75)
quedó -> anoche (0.78), apaguen (0.78), juguete (0.77), tula (0.76), cogió (0.76), allí… (0.76), cogido (0.75), cabras (0.75), espantaron (0.75), quedaron (0.74)
flor -> almendras (0.67), chinija (0.64), canela (0.64), caminaba (0.63), graciosa (0.63), encontré (0.63), enanos (0.63), perfumada (0.62), adornada (0.61), airosa (0.61)
muy -> salgamos (0.70), dúda (0.69), rencór (0.69), poca (0.67), llenemos (0.66), bién (0.65), serio (0.65), bajito (0.64), conmovido (0.64), chorizo (0.63)
fuerteventura -> romero (0.77), bebеr (0.77), hierbabuena (0.75), gavias (0.74), luceros (0.73), majoreros (0.72), fortuna (0.71), ovеja (0.70), oveja (0.70), olores (0.70)
puede -> extrañe (0.63), negar (0.63), dorado (0.62), cambiar (0.62), ardemos (0.61), caigas (0.61), debajo (0.60), alongues (0.60), cause (0.60), esclavos (0.59)
futuro -> vigoroso (0.70), fatal (0.70), razon (0.68), esfuma (0.68), llamada (0.66), brotará (0.65), vértigo (0.65), vende (0.64), unirnos (0.63), respira (0.63)
sale -> ahogue (0.81), riega (0.78), plantal (0.77), repásate (0.77), carburador (0.77), repásatе (0.77), andrés (0.75), sahara (0.74), salе (0.71), “ascore” (0.71)
quien -> negar (0.73), extrañe (0.73), lenta (0.72), lea (0.72), paciente (0.71), pava (0.71), pela (0.71), factura (0.69), esclavos (0.69), cobrar (0.68)
caminos -> algas (0.70), renuncio (0.69), conducen (0.67), sombreados (0.66), forjamos (0.66), fosforescentes (0.65), sirenitas (0.64), caballos (0.62), debеn (0.62), trigo (0.61)
nuevo -> regreses (0.64), niiiiii (0.63), retiro (0.61), intento (0.60), miran (0.59), recor (0.59), barnizar (0.59), gastada (0.57), gozaremos (0.57), sienten (0.57)
sulema -> sahara (0.94), riega (0.90), amasa (0.89), plantal (0.89), tindouf (0.87), reza (0.87), floreciendo (0.86), naciera (0.85), haima (0.83), sandalias (0.81)
raza -> extinguió (0.77), isleña (0.76), infinita (0.75), viniendo (0.74), gritó (0.74), querencia (0.74), acabó (0.72), leyenda (0.71), moraba (0.69), coraje (0.69)
alegría -> reinó (0.69), llena (0.68), remueve (0.68), güeyero (0.67), rompa (0.66), regala (0.66), manantial (0.65), decían (0.64), devuelto (0.64), puro (0.63)
decir -> “no (0.71), ala (0.70), vivido (0.69), sabía” (0.68), confesarlo (0.67), esconder (0.65), hayan (0.65), “estoy (0.65), puedo (0.64), ocasión (0.64)
monte -> brilla (0.75), súbete (0.70), ladera (0.69), avistar (0.69), alegran (0.68), cruces (0.67), envuelto (0.67), belingo (0.66), clavadas (0.65), primeras (0.65)
busca -> tirinaina (0.76), tirinai (0.76), tirinainai (0.75), guarida (0.72), mararía (0.71), llegando (0.70), decidió (0.70), humilde (0.69), garoé (0.68), encontrarás (0.68)
quizás -> contestando (0.93), respondes (0.91), desesperando (0.90), dеsesperando (0.87), pasan (0.86), perdiendo (0.84), corazón… (0.83), cuándo (0.78), pregunto (0.75), vine (0.73)
sabe -> andabas (0.71), inglé (0.70), andamos (0.68), debajo (0.67), enamore (0.67), olvidaste (0.67), manué (0.66), bito (0.66), marué (0.66), soñando (0.65)
han -> fondeado (0.67), contagiado (0.67), clavadas (0.66), unido (0.66), torno (0.66), cruces (0.65), nombrado (0.65), borrando (0.64), solitos (0.64), definieron (0.64)
nuestra -> meta (0.72), basurero (0.68), ruta (0.66), convertir (0.66), teror (0.65), lleven (0.65), mataron (0.64), capaz (0.64), eterna (0.64), ventas (0.64)
casa -> llevabas (0.64), isleño (0.62), salir (0.62), esperancera (0.62), guamasa (0.61), cuido (0.60), manta (0.60), común (0.59), construída (0.59), volvía (0.58)
nace -> sentencian (0.82), fusilan (0.82), torturan (0.81), pajarito (0.80), desgraciado (0.75), frutas (0.72), fecunda (0.71), hierba (0.70), hojas (0.64), incansable (0.63)
contra -> tiempos (0.76), cepos (0.75), muelas (0.74), tiros (0.74), rejas (0.74), pronóstico (0.74), espinas (0.73), trenos (0.73), flautas (0.72), insepulta (0.72)
pena -> aumentan (0.66), entonan (0.63), boba (0.62), coje (0.62), verla (0.61), ceniza (0.61), insepulta (0.61), chorros (0.61), muriendo (0.61), espinas (0.61)
arena -> blanda (0.72), amontonado (0.71), dibujó (0.70), rubia (0.70), salada (0.69), borrarlas (0.68), raya (0.68), s (0.68), lame (0.67), dondequiera (0.66)
mujer -> pardelas (0.70), еsa (0.68), perfumadita (0.68), brea (0.66), preñada (0.66), comparar (0.66), golosa (0.65), recental (0.64), mararía (0.64), barrilito (0.64)
deja -> arcoiris (0.71), ultime (0.68), suertes (0.67), concienzudamente (0.67), еntrecortado (0.66), barra (0.65), normal (0.65), falsario (0.64), gavias (0.63), correr (0.61)
cuerpo -> enroscaba (0.75), chachacha (0.74), compas (0.72), hundió (0.71), provocas (0.69), desbordan (0.69), pensé (0.68), pronóstico (0.67), cimbreaba (0.66), llamándote (0.66)
estoy -> di (0.71), segundos (0.69), aaaahm (0.69), pista (0.69), delatan (0.69), librando (0.69), olvidarme (0.68), escapa (0.68), digas (0.68), podido (0.68)
pueblos -> hermanando (0.72), falso (0.70), heredero (0.70), unirán (0.70), amadas (0.69), hogares (0.69), insustituible (0.68), algeciras (0.68), hernández (0.66), ciudades (0.66)
muralla -> flor… (0.89), ruiseñor (0.88), alcemos (0.88), ciempiés (0.85), —cierra (0.85), gusano (0.85), diente (0.84), mirto (0.84), juntando (0.84), —el (0.84)
pobre -> rafael (0.79), desechos (0.79), pobrecillo (0.77), agricultor (0.76), platanero (0.75), vestir (0.75), biеn (0.73), torna (0.73), novio (0.73), catre (0.72)
nube -> gandula (0.72), trocito (0.70), cogía (0.67), guevara (0.67), abría (0.66), ché (0.66), ojitos (0.64), barbuzano… (0.64), fayal (0.63), barra (0.61)
fueron -> ricos (0.67), extranjeros (0.67), bomberos (0.67), abejas (0.66), darles (0.65), espantaron (0.65), forjaron (0.64), anunciándole (0.63), cabras (0.63), sirenas (0.63)
aunque -> asople (0.71), temporales (0.70), entendí (0.69), duela (0.68), guañac (0.68), vendaval (0.68), erizó (0.68), che (0.68), rural (0.67), ach (0.66)
vientos -> soplan (0.88), majoreros (0.82), agoniza (0.81), fortuna (0.80), romero (0.78), pos (0.77), exigen (0.76), sujetan (0.76), luceros (0.75), hierbabuena (0.75)
nana -> nay (1.00), nana… (0.99), moi (0.97), avec (0.96), vals (0.96), danser (0.95), voulezvous (0.93), ah (0.91), bailemos (0.90), ha… (0.90)
vas -> dices (0.79), maduran (0.72), mentir (0.72), poemas (0.70), еstá (0.70), adonde (0.70), acercas (0.69), alfonsina (0.69), nuevos (0.69), sepas (0.68)
blanco -> rompientes (0.76), recordar… (0.75), detrás (0.75), velo (0.74), fayal (0.74), territorio (0.73), verdеs (0.72), traer (0.72), mar… (0.72), bailarines (0.71)
aquel -> bares (0.66), casual (0.66), sitial (0.65), gustaste (0.65), traer (0.65), falsario (0.65), situación (0.64), filme (0.64), vierte (0.64), fuiste (0.63)
playa -> helado (0.70), casitas (0.69), ladera (0.69), vaya (0.67), bajó (0.67), brilla (0.66), comprar (0.66), lejano (0.65), espero (0.65), cañas (0.63)
piel -> melaza (0.66), crucifijo (0.64), aceituna (0.63), volcará (0.63), erizó (0.63), violentó (0.62), aprendiendo (0.61), poros (0.61), feroz (0.60), enseñó (0.60)
lejos -> guerras (0.66), еntre (0.65), melodía (0.62), odres (0.60), prisioneros (0.59), caudal (0.58), unirnos (0.57), creen (0.57), esfuma (0.57), siga (0.56)
sed -> reverdecer (0.65), arroyos (0.64), ansia (0.63), dibujo (0.62), pozos (0.60), agrieta (0.60), acaricio (0.60), hierro (0.60), grandeza (0.60), tambor (0.59)
él -> escribe (0.64), echaba (0.63), ruego (0.63), despertaba (0.62), digas (0.61), maravillo (0.61), perseguirá (0.61), nodriza (0.60), tira (0.60), complejos (0.60)
duerme -> tranquilas (0.80), descansa (0.78), deditos (0.75), muerde (0.75), rubio (0.73), femés (0.72), cañas (0.71), arde (0.67), desata (0.65), rompe (0.64)
vivo -> dolido (0.77), cuento (0.76), rubén (0.76), atocha (0.75), darío (0.72), 53 (0.72), lorca (0.71), ausentе (0.70), abrumó (0.70), estremeció (0.69)
agüita -> sequita (0.88), jornal (0.85), quitan (0.80), sereno (0.79), sonámbulas (0.79), alegra (0.78), rama (0.76), aguardando (0.72), compartiendo (0.72), ofrece (0.72)
nadie -> gafas (0.75), usa (0.75), cortas (0.75), andabas (0.73), soñando (0.73), debajo (0.71), andamos (0.70), buscaba (0.67), precipicio (0.64), salto (0.64)
sur -> puеs (0.78), anduvo (0.71), fierro (0.71), norte (0.70), puma (0.70), quedaste (0.69), creyó (0.68), argentina (0.67), levantarán (0.65), hеrmosas (0.65)
perdono -> amarme (0.84), cientos (0.82), besado (0.81), acariciado (0.80), montón (0.78), haberme (0.77), oído (0.77), pеrdono (0.76), conozco (0.76), razones (0.76)
barrio -> vegueta (0.91), formado (0.82), pa´l (0.79), traes (0.78), rian (0.77), teror (0.77), ana (0.76), еstaba (0.76), perejila (0.76), doña (0.76)
historia -> acabó (0.68), 90 (0.67), insular (0.67), inmemorial (0.67), geografía (0.66), norteafricana (0.66), empieza (0.65), trastienda (0.65), tiеne (0.65), hеredar (0.65)
paso -> muevo (0.75), doble (0.69), esencial (0.69), bodas (0.68), suelto (0.67), aromas (0.66), derramaba (0.66), compas (0.65), impulso (0.65), mixtura (0.65)
toda -> dulzura (0.59), atención (0.57), ponles (0.57), cause (0.57), dala (0.57), oligarquía (0.56), interrumpiendo (0.55), destruye (0.55), saciar (0.55), palmea (0.54)
guanche -> llamarme (0.75), nazca (0.72), fuе (0.70), verá (0.69), ganigo (0.69), aceró (0.69), anunciándole (0.68), peregrino (0.67), cantaremos (0.66), cathaysa (0.65)
sueños -> mapa (0.68), perdamos (0.65), aaaahm (0.65), escrita (0.65), eleva (0.64), ms (0.63), existir (0.63), cimas (0.62), destruyendo (0.62), alambres (0.61)
muro -> cuántos (0.82), alcanzo (0.81), alumbras (0.80), tеngo (0.80), ofreces (0.78), rabias (0.77), escucho (0.76), caer (0.74), lleno (0.72), verlos (0.71)
hermano -> ausentе (0.76), siglos (0.74), rubén (0.70), traer (0.68), lorca (0.66), vives (0.66), darío (0.66), halla (0.66), extendiéndote (0.65), rompientes (0.65)
estás -> perdiendo (0.69), pinocho (0.67), conforma (0.66), creerán (0.66), eheh (0.66), distinto (0.65), vacío (0.64), mirarte (0.64), hablarán (0.64), foto (0.63)
andar -> reluce (0.83), caballеro (0.77), luciera (0.74), zaguanes (0.72), acera (0.69), escoro (0.68), atento (0.68), desprende (0.67), sacho (0.66), hombro (0.63)
gaviota -> crea (0.86), cortarme (0.82), acariciarle (0.80), maderos (0.80), libertario (0.79), sеr (0.79), metido (0.78), ola (0.77), еstado (0.77), manera (0.76)
hombres -> caminan (0.72), crezcan (0.70), venida (0.68), dirá (0.68), valientеs (0.67), forjaron (0.66), imaginación (0.64), espacios (0.64), muelle (0.61), guarde (0.61)
otra -> rieron (0.69), regleta (0.68), astros (0.67), doy (0.66), visita (0.66), vez (0.66), angustiado (0.66), tеstigo (0.65), pedal (0.65), mandala (0.63)
mañana -> trajo (0.63), tempranito (0.60), recitado (0.60), derechas (0.60), tarde (0.59), ñameras (0.58), regañaba (0.58), maraña (0.57), volvеrás (0.57), anochecer (0.55)
juan -> pencas (0.74), tunera (0.73), nombrado (0.70), cho (0.69), perenal (0.67), llaman (0.67), pеrinal (0.67), primo (0.66), arañan (0.66), vera (0.66)
muchacha -> chacha (0.95), gozar (0.92), vuelva (0.90), compas (0.89), sofocón (0.82), chachacha (0.81), cuén (0.76), tire (0.76), atraque (0.75), hueso (0.74)
nombre -> balbucea (0.65), escrito (0.62), ignoraba (0.62), murmura (0.60), pablo (0.60), aprendiz (0.60), estando (0.60), sentida (0.59), cantaré (0.59), conocí (0.59)
nueva -> geografía (0.72), herida (0.70), generación (0.67), cerradura (0.67), obreros (0.67), construída (0.66), mi… (0.66), camisa (0.65), reconstruir (0.64), ponerle (0.64)
lado -> habitantes (0.73), bájame (0.72), lámpara (0.69), hablarán (0.69), chalet (0.67), chabola (0.66), vivirán (0.66), extiende (0.66), telde (0.65), olvidarme (0.65)
vive -> extinguió (0.71), tindouf (0.69), juventud (0.69), millares (0.68), taro (0.68), haima (0.67), ansia (0.67), hierro (0.66), techos (0.65), tarta (0.64)
gente -> pastel (0.67), país… (0.65), saludar (0.64), corre (0.62), extranjera (0.62), dará (0.62), oigo (0.62), quede (0.61), astros (0.60), rieron (0.60)
llega -> manana (0.73), castle (0.71), yowall (0.69), lunes (0.68), mеdia (0.65), lata (0.65), vega (0.64), pueblitos (0.63), trocito (0.61), alisio (0.60)
viejo -> rueca (0.67), huso (0.65), según (0.64), repite (0.64), oyen (0.64), naufragas (0.63), navegas (0.61), traspuso (0.61), mecen (0.61), pibe (0.60)
flores -> ramo (0.66), primavеra (0.65), risas… (0.63), tiernos (0.63), vergel (0.63), contarte (0.63), bellaza (0.61), noviеmbre (0.61), noviembre (0.60), mandaba (0.60)
morena -> llamando (0.71), logró (0.71), seguí (0.71), emergieras (0.69), mana (0.68), plumazo (0.66), silueta (0.65), eco (0.65), cimbreaba (0.64), sentí (0.64)
sal -> requiebra (0.70), antigüa (0.68), atlántida (0.65), antigua (0.63), posada (0.62), olorеs (0.62), drago (0.61), caracola (0.60), janubio (0.60), esmeralda (0.59)
amores -> oculté (0.74), cruces (0.73), clavadas (0.72), desengaños (0.70), olvido (0.70), haberse (0.69), comprendido (0.68), ramo (0.67), soñados (0.67), cocida (0.65)
calle -> fiel (0.71), fraternizábamos (0.68), ateneo (0.68), igualdad (0.67), salimos (0.66), vera (0.66), acera (0.64), fuertes (0.63), ritmos (0.63), cuentagotas (0.63)
campo -> comen (0.67), agricultor (0.67), platanero (0.66), chorizo (0.66), bajaron (0.66), magos (0.65), salvaremos (0.65), saciar (0.63), trayendo (0.63), “jiso” (0.62)
bailar -> calidad (0.74), periodista (0.67), crugir (0.65), vocero (0.64), bueno (0.63), superman (0.62), marginalidad (0.61), cantidad (0.61), aparte (0.60), volvamos (0.59)
poco -> lámpara (0.73), amistad (0.72), mímate (0.71), termino (0.71), bájame (0.70), hicimos (0.70), renazco (0.69), compres (0.69), duerma (0.69), coco (0.69)
chacha -> gozar (0.96), muchacha (0.95), vuelva (0.94), compas (0.93), chachacha (0.86), atraque (0.78), cuén (0.78), provocas (0.77), muevo (0.74), bingo (0.73)
quiera -> ajuar (0.74), puedas (0.73), mí (0.73), quiéreme (0.71), pedal (0.70), atento (0.68), enamorada (0.68), barrilito (0.67), cristobal (0.67), uvas (0.66)
nuestros -> hijos (0.80), soñamos (0.76), forjamos (0.73), cambiarán (0.73), timples (0.72), cumbrеs (0.71), destruyendo (0.71), habitaron (0.70), siembre (0.69), insustituible (0.68)
